Value,ByteLen
2091,6
1,1
12/20,5
10:57:19,8
 4.79,5
 4.79,5
1520,4
9999,4
   0,4
9999,4
9999,4
20.6,4
23.6,4
 30,3
 66,3
31,2
29,2
"00:00'00""",9
"00:00'00""",9
100,3
 2.4,4
0.29,4
28.5,4
0,1
00,2
00,2
00,2
00,2
00,2
00,2
00,2
00,2
00,2
00,2
00,2
00,2
00,2
00,2
00,2
00,2
00,2
00,2
00,2
00,2
00,2
00,2
00,2
00,2
00,2
00,2
"000C
",7
