Value,ByteLen
 15:36:38,9
7.17,4
50,4
408,4
21.9,4
19,4
-9,4
100%,4
3,4
 ---,4
 -.-,4
    ,4
    ,4
    ,4
    ,4
    ,4
93%,4
24%,4
" 7.6
",6
