Name parameter,value,Send,Type,options,byteLimit
1, 15:36:38,1,free,,9
2,7.17,1,free,,4
3,50,1,free,,4
4,408,1,free,,4
5,21.9,1,free,,4
6,19,1,free,,4
7,-9,1,free,,4
8,100%,1,free,,4
9,3,1,free,,4
10, ---,1,free,,4
11, -.-,1,free,,4
12,    ,1,free,,4
13,    ,1,free,,4
14,    ,1,free,,4
15,    ,1,free,,4
16,    ,1,free,,4
17,93%,1,free,,4
18,24%,1,free,,4
19," 7.6
",1,free,,6
